ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
974,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Lakeside Trail,135.94,
975,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,Upper Ironwood Trail,205.54,
976,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,189.47,10217.0
976,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,189.47,92.0
977,PT,Silverwood,St. Anthony,Bituminous,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,61.54,10217.0
977,PT,Silverwood,St. Anthony,Bituminous,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,61.54,92.0
979,PT,Elm Creek,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",Cross-country Skate/Classic,False,,1027.46,71618.0
980,PT,Elm Creek,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",False,,3095.0,71618.0
981,PT,Elm Creek,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",False,,1931.48,71618.0
993,PT,Cleary,Credit River Twp.,Mowed,8.0,"Unpaved Hike, Dog (Off-Leash)","Hike, Dog (Off-Leash)",False,,4779.76,
994,PT,Lake Rebecca,Greenfield,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",False,,3901.42,2850.0
995,PT,Fish,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,161.49,71618.0
996,PT,Fish,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,705.47,71618.0
1010,PT,Murphy-Hanrehan,Burnsville,Mowed,14.0,No Access / Winter Only,Cross-country Skate/Classic,False,,1905.25,64857.0
1027,PT,Lake Minnetonka,Minnetrista,Snow Only,12.0,,Snowmobile,False,,231.35,8946.0
1028,PT,Lake Minnetonka,Minnetrista,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,26.88,8946.0
1029,PT,Murphy-Hanrehan,Burnsville,Mowed,0.0,No Access / Winter Only,Cross-country Skate/Classic,False,,102.38,64857.0
1034,PT,Not In Park,Minnetrista,Snow Only,10.0,,Snowmobile,False,,569.2,8946.0
1036,PT,Silverwood,St. Anthony,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,21.07,10217.0
1036,PT,Silverwood,St. Anthony,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,21.07,92.0
